DATE,T2MDEW,T2M,RH2M,WS10M
2019/09/01,26.6,29.24,86.31,3.16
2019/09/02,25.79,28.65,85.19,3.55
2019/09/03,26.28,28.43,88.44,4.48
2019/09/04,26.44,28.53,88.81,4.05
2019/09/05,26.3,28.36,88.94,4.12
2019/09/06,26.23,28.4,88.31,4.39
2019/09/07,26.18,28.16,89.19,5.92
2019/09/08,26.15,28.14,89.12,5.42
2019/09/10,26.69,28.01,92.44,4.71
2019/09/11,26.62,28.01,92.19,5.44
2019/09/12,25.8,27.4,91.06,7.48
2019/09/13,25.86,27.38,91.44,4.52
2019/09/14,25.71,27.73,89.06,2.9
2019/09/15,26.0,28.05,88.81,2.55
2019/09/16,25.78,27.99,88.06,2.3
2019/09/17,25.68,29.0,83.06,1.68
2019/09/18,25.51,29.57,79.75,1.68
2019/09/19,26.32,29.17,85.0,1.98
2019/09/20,25.81,28.83,84.12,1.73
2019/09/21,25.52,29.06,81.88,1.31
2019/09/22,25.37,29.11,81.38,1.63
2019/09/23,24.95,28.32,82.75,1.53
2019/09/24,25.3,27.47,88.12,2.25
2019/09/27,24.29,27.03,85.56,2.48
2019/09/28,24.09,27.16,83.94,1.78
2019/09/29,24.03,27.19,82.94,1.88
2019/09/30,24.25,27.1,84.56,2.46
2019/10/01,24.5,26.4,89.31,2.88
2019/10/02,24.75,26.73,89.12,3.57
2019/10/03,25.0,27.25,87.88,2.98
2019/10/04,24.53,27.29,85.19,1.84
2019/10/05,24.65,27.8,83.31,1.59
2019/10/06,24.28,27.82,81.62,1.46
2019/10/07,24.26,27.0,85.0,1.4
2019/10/08,23.75,27.15,81.88,1.0
2019/10/09,23.26,27.12,79.75,1.07
2019/10/10,24.08,25.96,89.31,3.04
2019/10/11,24.32,26.33,88.88,3.23
2019/10/12,23.76,27.13,82.31,1.64
2019/10/13,23.42,26.8,82.56,2.45
2019/10/14,22.94,26.75,80.62,2.31
2019/10/15,23.9,26.96,83.81,1.72
2019/10/16,23.9,28.25,78.12,0.98
2019/10/17,23.98,28.34,77.81,1.85
2019/10/18,24.48,28.18,81.06,2.0
2019/10/19,24.55,27.97,82.31,1.81
2019/10/20,24.36,27.71,82.94,2.26
2019/10/21,24.39,27.42,84.19,1.91
2019/10/22,23.96,27.55,81.31,1.46
2019/10/23,24.16,27.44,82.56,1.55
2019/10/24,23.89,26.5,86.0,3.13
2019/10/25,24.62,27.08,86.81,2.67
2019/10/26,25.03,27.26,87.81,2.57
2019/10/27,23.73,26.92,82.94,1.2
2019/10/28,23.51,26.59,83.81,1.95
2019/10/29,22.9,26.01,83.5,2.21
2019/10/30,22.0,25.69,80.69,1.77
2019/10/31,21.12,26.23,73.88,1.62
2019/11/01,21.12,25.33,78.69,2.16
2019/11/02,21.73,26.26,77.06,1.6
2019/11/03,21.79,26.22,77.5,1.65
2019/11/04,21.97,26.79,75.25,1.29
2019/11/05,21.77,26.49,75.94,1.23
2019/11/06,21.19,26.02,75.62,1.88
2019/11/07,21.26,26.08,75.56,1.59
2019/11/08,23.0,25.83,84.44,2.03
2019/11/09,23.62,25.91,87.75,4.03
2019/11/10,23.5,24.85,92.19,5.82
2019/11/11,23.91,25.59,90.56,3.99
2019/11/12,22.23,25.47,83.12,2.09
2019/11/13,21.6,24.54,84.56,2.35
2019/11/14,22.22,25.48,83.06,1.84
2019/11/15,21.32,25.15,80.12,1.96
2019/11/16,19.32,23.97,76.5,2.03
2019/11/17,18.17,23.36,72.94,1.67
2019/11/18,19.04,23.06,79.19,1.97
2019/11/19,18.49,22.8,78.0,1.95
2019/11/20,18.06,22.18,78.5,2.33
2019/11/21,17.31,22.15,75.62,1.8
2019/11/22,17.41,22.21,75.19,1.61
2019/11/23,17.52,22.34,75.25,1.7
2019/11/24,17.72,21.8,78.75,2.01
2019/11/25,17.57,22.73,74.62,1.41
2019/11/26,18.4,23.57,74.19,1.36
2019/11/27,17.38,23.97,67.94,1.39
2019/11/28,18.69,24.07,72.81,1.51
2019/11/29,19.29,23.9,76.19,1.14
2019/11/30,18.76,23.41,76.0,1.23
2019/12/01,18.5,21.98,81.44,2.28
2019/12/03,15.9,19.85,79.31,2.39
2019/12/04,15.87,19.38,81.56,2.85
2019/12/05,16.62,21.84,74.44,1.41
2019/12/06,15.87,23.02,65.5,1.16
2019/12/07,16.6,22.56,70.0,1.68
2019/12/08,16.94,22.81,71.0,1.11
2019/12/09,16.87,22.19,73.12,1.1
2019/12/10,15.99,21.43,72.12,1.27
2019/12/11,14.23,21.33,64.69,0.88
2019/12/12,14.16,19.89,70.81,2.06
2019/12/13,14.26,20.36,69.88,1.45
2019/12/14,14.36,21.0,67.69,1.55
2019/12/15,15.47,20.38,74.06,2.31
2019/12/16,16.78,20.18,82.12,2.35
2019/12/17,16.96,19.94,84.12,2.38
2019/12/18,16.08,18.37,87.31,3.44
2019/12/19,14.65,16.74,87.19,2.77
2019/12/20,13.15,16.48,81.12,2.39
2019/12/21,13.27,16.74,80.94,2.04
2019/12/22,13.53,16.41,84.31,2.8
2019/12/23,14.91,17.19,86.88,3.02
2019/12/24,14.43,17.29,83.94,3.08
2019/12/25,13.32,16.39,82.62,2.76
2019/12/26,14.44,18.3,80.19,2.33
2019/12/27,15.4,17.34,89.06,2.72
2019/12/28,13.87,16.65,84.5,3.13
2019/12/29,13.79,17.43,80.06,1.83
2019/12/30,15.24,18.38,82.5,1.74
2019/12/31,16.17,20.27,78.19,1.46
2020/01/01,16.7,21.71,74.25,1.46
2020/01/02,17.64,21.39,80.0,1.85
2020/01/03,18.05,19.89,89.44,2.08
2020/01/04,15.84,18.17,86.38,1.84
2020/01/05,16.29,18.72,86.19,2.15
2020/01/06,14.18,17.11,84.19,3.26
2020/01/07,12.82,16.07,81.94,2.38
2020/01/08,14.15,17.3,83.31,2.43
2020/01/09,15.17,18.91,80.19,1.38
