DATE,RH2M,WS10M,T2MDEW,T2MWET,T2M
2019/09/01,87.0,1.97,26.9,28.15,29.39
2019/09/02,88.56,2.74,26.71,27.76,28.82
2019/09/03,88.38,2.37,26.63,27.73,28.83
2019/09/04,91.56,2.7,26.36,27.12,27.87
2019/09/05,89.12,2.81,26.49,27.5,28.51
2019/09/06,90.56,3.12,26.62,27.49,28.35
2019/09/07,91.12,3.8,26.58,27.39,28.19
2019/09/08,90.25,4.26,26.82,27.73,28.62
2019/09/10,89.5,2.94,26.91,27.89,28.87
2019/09/11,90.94,3.45,27.06,27.9,28.73
2019/09/12,93.69,4.73,26.71,27.26,27.82
2019/09/13,91.5,4.06,26.35,27.12,27.9
2019/09/14,90.19,2.98,26.07,26.98,27.88
2019/09/15,88.5,2.68,26.39,27.48,28.56
2019/09/16,90.25,2.7,26.3,27.19,28.08
2019/09/17,84.38,1.6,25.71,27.22,28.73
2019/09/18,78.5,1.09,24.91,27.08,29.26
2019/09/19,77.5,1.26,24.93,27.18,29.43
2019/09/20,81.94,1.24,25.44,27.17,28.9
2019/09/21,82.19,0.93,25.5,27.23,28.95
2019/09/22,82.25,1.27,25.51,27.24,28.98
2019/09/23,86.75,1.38,25.2,26.45,27.7
2019/09/24,93.25,2.02,25.0,25.59,26.18
2019/09/27,87.12,1.7,23.73,24.94,26.14
2019/09/28,87.69,1.37,23.58,24.71,25.85
2019/09/29,87.06,1.3,23.19,24.37,25.55
2019/09/30,91.75,1.81,24.05,24.78,25.51
2019/10/01,93.69,3.73,24.6,25.15,25.69
2019/10/02,85.5,1.81,24.3,25.67,27.05
2019/10/03,85.5,1.27,24.4,25.76,27.12
2019/10/04,88.12,1.69,24.88,25.98,27.08
2019/10/05,86.0,1.59,24.75,26.06,27.37
2019/10/06,85.94,1.17,24.62,25.92,27.22
2019/10/07,88.44,1.24,24.75,25.8,26.86
2019/10/08,87.5,0.66,24.37,25.51,26.66
2019/10/09,87.12,1.45,23.62,24.83,26.03
2019/10/10,89.69,2.05,23.86,24.8,25.73
2019/10/11,86.5,1.64,23.84,25.11,26.38
2019/10/12,81.69,1.42,22.94,24.69,26.44
2019/10/13,82.81,2.14,21.83,23.48,25.11
2019/10/14,82.19,1.8,22.21,23.95,25.69
2019/10/15,79.75,1.41,22.83,24.82,26.8
2019/10/16,82.94,1.36,23.8,25.43,27.05
2019/10/17,84.06,1.42,24.02,25.55,27.08
2019/10/18,82.25,1.7,23.67,25.4,27.12
2019/10/19,81.94,2.01,23.0,24.75,26.51
2019/10/20,85.0,2.19,22.83,24.25,25.66
2019/10/21,89.56,2.5,23.51,24.48,25.43
2019/10/22,88.19,2.2,23.19,24.26,25.34
2019/10/23,85.62,1.9,21.61,22.94,24.28
2019/10/24,90.31,1.98,19.83,20.66,21.5
2019/10/25,94.38,3.45,21.62,22.1,22.57
2019/10/26,93.25,2.39,24.0,24.59,25.19
2019/10/27,89.69,2.03,22.72,23.65,24.59
2019/10/28,86.69,2.38,20.85,22.1,23.35
2019/10/29,87.81,1.87,21.84,22.96,24.08
2019/10/30,82.25,1.34,22.02,23.72,25.41
2019/10/31,79.75,1.02,21.41,23.38,25.36
2019/11/01,83.0,1.49,21.84,23.45,25.05
2019/11/02,83.19,1.43,21.83,23.42,25.01
2019/11/03,80.5,0.92,21.45,23.3,25.16
2019/11/04,79.69,0.85,21.51,23.45,25.4
2019/11/05,81.25,1.34,21.51,23.3,25.08
2019/11/06,81.69,1.6,20.56,22.3,24.05
2019/11/07,77.88,1.78,19.65,21.8,23.94
2019/11/08,88.5,1.93,21.67,22.69,23.73
2019/11/09,95.06,3.47,22.19,22.59,23.0
2019/11/10,93.38,5.51,21.48,22.05,22.6
2019/11/11,87.69,2.76,21.12,22.24,23.36
2019/11/12,86.56,2.29,20.5,21.74,22.99
2019/11/13,83.31,1.77,20.14,21.74,23.34
2019/11/14,80.62,1.13,20.44,22.32,24.2
2019/11/15,78.44,1.08,19.85,21.93,24.01
2019/11/16,77.81,0.83,19.8,21.92,24.05
2019/11/17,81.56,1.16,19.94,21.65,23.37
2019/11/18,77.88,1.09,18.51,20.65,22.79
2019/11/19,76.5,1.05,18.26,20.48,22.71
2019/11/20,81.62,1.32,18.01,19.74,21.48
2019/11/21,78.31,1.11,17.24,19.33,21.43
2019/11/22,78.62,1.3,17.22,19.22,21.21
2019/11/23,78.0,0.76,17.83,19.93,22.01
2019/11/24,79.56,0.72,18.1,20.02,21.94
2019/11/25,83.75,1.45,18.73,20.21,21.7
2019/11/26,83.38,1.47,18.85,20.4,21.95
2019/11/27,81.81,1.46,18.35,20.06,21.78
2019/11/28,78.69,1.15,18.47,20.54,22.62
2019/11/29,81.44,1.35,18.73,20.48,22.22
2019/11/30,82.88,1.55,18.52,20.13,21.74
2019/12/01,83.88,1.73,17.56,19.05,20.53
2019/12/03,80.25,1.56,15.38,17.2,19.02
2019/12/04,80.56,1.73,15.65,17.47,19.28
2019/12/05,84.62,2.38,16.55,17.94,19.33
2019/12/06,81.0,2.55,15.52,17.29,19.05
2019/12/07,78.44,1.83,15.7,17.74,19.78
2019/12/08,73.44,1.14,15.8,18.39,20.98
2019/12/09,80.25,1.3,16.36,18.2,20.05
2019/12/10,82.88,1.48,16.18,17.76,19.34
2019/12/11,78.88,1.61,15.12,17.1,19.08
2019/12/12,80.44,1.8,15.16,16.94,18.73
2019/12/13,76.81,1.27,14.48,16.67,18.87
2019/12/14,77.75,1.6,14.8,16.96,19.12
2019/12/15,83.25,1.72,16.18,17.69,19.22
2019/12/16,84.38,1.86,16.12,17.58,19.05
2019/12/17,85.19,1.95,15.12,16.48,17.83
2019/12/18,88.06,2.94,14.17,15.15,16.13
2019/12/19,88.75,2.22,13.15,14.06,14.98
2019/12/20,85.12,1.9,12.6,13.85,15.1
2019/12/21,88.25,1.74,12.72,13.69,14.66
2019/12/22,87.44,1.72,12.54,13.61,14.67
2019/12/23,86.56,2.41,12.79,14.0,15.21
2019/12/24,84.94,2.28,12.6,13.92,15.23
2019/12/25,83.38,1.98,11.72,13.22,14.73
2019/12/26,74.31,1.81,11.77,14.23,16.7
2019/12/27,80.88,2.11,11.83,13.56,15.28
2019/12/28,83.62,2.59,11.66,13.16,14.66
2019/12/29,81.56,1.79,12.31,14.04,15.76
2019/12/30,80.19,1.84,12.94,14.79,16.64
2019/12/31,78.75,1.91,13.61,15.61,17.61
2020/01/01,81.44,2.27,15.48,17.22,18.94
2020/01/02,80.12,1.98,16.08,17.95,19.83
2020/01/03,91.44,1.83,15.9,16.6,17.31
2020/01/04,85.06,1.6,15.33,16.69,18.04
2020/01/05,85.0,2.31,13.76,15.09,16.42
2020/01/06,83.0,2.58,11.03,12.57,14.1
2020/01/07,80.88,1.98,10.83,12.61,14.39
2020/01/08,78.38,1.38,11.55,13.58,15.62
2020/01/09,83.19,2.01,13.17,14.67,16.16
2020/01/10,85.25,2.34,13.69,14.97,16.25
2020/01/11,86.94,2.91,12.86,13.97,15.08
2020/01/12,85.81,2.41,12.98,14.23,15.48
2020/01/13,82.38,1.84,12.56,14.15,15.75
2020/01/14,82.56,1.54,13.29,14.86,16.44
2020/01/15,83.75,1.84,14.19,15.62,17.05
2020/01/16,77.44,1.79,14.08,16.26,18.45
2020/01/17,77.19,1.8,15.15,17.36,19.58
2020/01/18,77.44,1.84,15.31,17.55,19.78
2020/01/19,81.44,2.29,15.73,17.51,19.27
2020/01/20,81.75,3.26,12.57,14.25,15.94
2020/01/21,75.5,2.37,9.96,12.27,14.58
2020/01/22,71.38,2.18,9.31,12.08,14.85
2020/01/23,74.5,2.3,10.48,12.87,15.27
2020/01/24,69.69,2.09,8.88,11.83,14.76
2020/01/25,69.12,1.9,8.98,12.0,15.03
2020/01/26,73.88,2.41,9.73,12.23,14.73
2020/01/27,76.06,2.12,10.45,12.73,15.01
2020/01/28,72.62,1.82,11.08,13.75,16.41
2020/01/29,76.0,1.59,11.75,13.95,16.15
2020/01/30,79.12,1.9,13.34,15.33,17.3
2021/12/13,72.5,1.22,11.9,14.58,17.25
2021/12/14,79.44,1.81,13.74,15.69,17.62
2021/12/15,82.81,1.95,13.85,15.35,16.86
2021/12/16,78.75,1.88,12.87,14.9,16.92
2021/12/17,75.06,2.03,12.44,14.9,17.35
2021/12/18,74.88,1.99,12.49,14.94,17.4
2021/12/19,82.88,2.41,13.14,14.76,16.38
2021/12/20,80.56,2.27,11.37,13.21,15.06
2021/12/21,82.31,1.69,13.9,15.56,17.22
2021/12/22,83.94,1.57,15.2,16.63,18.06
2021/12/23,78.69,1.45,14.16,16.22,18.26
